Country,Language
Syria,"Arabic, French, English, Kurdish"
Taiwan,Chinese
Tajikistan,"Russian, Tajik, Uzbek"
Tanzania,"English, Swahili"
Thailand,"Chinese, English, Thai"
Togo,"Cotocoli, Ewe, French, Kabyé, Mina"
Tonga,"English, Tongan"
Trinidad and Tobago,"English, French, Hindi, Spanish"
Tunisia,"Arabic, French"
Turkey, "Turkish, Kurdish"
Turkmenistan,"Russian, Turkmen, Uzbek"
Tuvalu,"English, Tuvaluan"
Uganda,"Ateso, English, Luganda, Luo, Swahili"
Ukraine,Ukrainian
United Arab Emirates,"Arabic, English"
United Kingdom,"English, Scots Gaelic, Welsh"
United States,"English, Sizable Spanish-Speaking Minority"
Uruguay,Spanish
Uzbekistan,"Russian, Tajik, Uzbek"
Vanuatu,"Bislama (A Melanesian Pidgin English), English, French"
Vatican City,"Italian, Latin"
Venezuela,"Spanish"
Vietnam,"Chinese, English, French, Khmer, Vietnamese"
Western Sahara region,"Hassaniya Arabic, Moroccan Arabic"
Yemen,Arabic
Zambia,"English"
